customer_id,gender,age,income,relation_length,contract_length,start_channel,email_list,home_age,home_label,electricity_usage,gas_usage,province,churn
1,0,37,2371.0,50,0,Online,1,17,F,2238.0,1425.0,Noord-Brabant,1
2,1,49,4534.0,22,0,Online,0,11,E,3306.0,1651.0,Noord-Holland,1
3,1,53,5279.0,67,7,Online,1,31,E,2664.0,1176.0,Gelderland,0
4,1,40,4404.0,40,0,Online,1,12,D,2870.0,1899.0,Zuid-Holland,1
5,1,70,2144.0,74,31,Online,1,28,F,2983.0,1120.0,Noord-Brabant,1
6,1,36,4470.0,48,9,Phone,0,86,G,2508.0,993.0,Zuid-Holland,1
7,0,35,7937.0,31,35,Online,1,47,D,1618.0,1734.0,Gelderland,0
8,0,45,4696.0,72,33,Online,1,21,G,2595.0,994.0,Zuid-Holland,1
9,1,45,8907.0,43,0,Online,1,0,B,1524.0,1040.0,Friesland,0
10,1,45,3188.0,51,0,Online,1,47,G,2519.0,1798.0,Noord-Brabant,1
11,1,42,3700.0,50,17,Online,1,10,F,1389.0,2631.0,Noord-Brabant,1
12,1,62,5935.0,98,0,Online,1,191,E,2457.0,782.0,Limburg,0
13,0,57,2480.0,113,20,Online,1,27,D,1678.0,998.0,Overijssel,0
14,1,46,8474.0,93,11,Phone,0,45,E,1976.0,1714.0,Gelderland,0
15,0,34,3326.0,79,0,Online,1,13,E,2369.0,1341.0,Overijssel,1
16,1,40,5881.0,27,0,Phone,0,56,F,2034.0,2180.0,Noord-Holland,1
17,0,60,5371.0,48,0,Online,1,9,B,1660.0,1132.0,Noord-Holland,0
18,0,43,3515.0,58,11,Online,1,42,C,2468.0,1154.0,Friesland,1
19,0,50,5819.0,70,9,Online,1,21,F,2240.0,485.0,Utrecht,0
20,0,47,6108.0,107,0,Online,1,7,B,2170.0,883.0,Noord-Holland,0
21,0,42,8559.0,10,29,Phone,0,38,D,2849.0,1531.0,Noord-Brabant,1
22,0,66,8003.0,64,6,Online,1,187,F,2303.0,1897.0,Groningen,1
23,0,63,4004.0,171,0,Online,1,40,E,2265.0,1328.0,Noord-Holland,0
24,0,47,7031.0,126,30,Online,1,48,C,1501.0,1511.0,Gelderland,0
25,0,55,3158.0,48,0,Online,1,18,E,2709.0,1539.0,Noord-Holland,1
26,1,32,7598.0,65,24,Online,1,168,G,3118.0,2111.0,Friesland,1
27,1,46,5522.0,75,0,Online,1,81,F,1911.0,1347.0,Noord-Holland,1
28,1,44,3776.0,15,0,Online,1,47,C,2151.0,1580.0,Gelderland,1
29,1,36,8448.0,84,0,Online,1,20,E,2172.0,1509.0,Noord-Holland,1
30,0,47,2444.0,0,11,Online,1,34,G,2546.0,1210.0,Limburg,1
31,0,86,3477.0,187,0,Phone,0,33,G,2399.0,1197.0,Limburg,1
32,0,41,2030.0,87,2,Online,1,131,E,2663.0,1605.0,Zuid-Holland,0
33,0,46,6913.0,37,30,Online,0,67,F,2446.0,1977.0,Limburg,0
34,1,54,3861.0,109,0,Online,1,28,F,1634.0,816.0,Zuid-Holland,1
35,0,39,5169.0,45,32,Phone,0,2,B,1587.0,637.0,Utrecht,0
36,1,29,2970.0,1,3,Online,1,93,D,1085.0,980.0,Noord-Brabant,1
37,0,52,4627.0,62,28,Online,1,79,D,2087.0,1567.0,Limburg,0
38,0,35,6729.0,73,0,Phone,0,26,B,1985.0,1020.0,Gelderland,0
39,1,86,4545.0,204,3,Phone,1,18,G,2967.0,2343.0,Zuid-Holland,1
40,1,50,4588.0,110,20,Online,1,8,C,2334.0,725.0,Gelderland,0
41,1,31,3149.0,42,0,Online,1,0,A,1736.0,503.0,Overijssel,1
42,1,55,4303.0,92,0,Online,1,25,E,2534.0,1523.0,Overijssel,1
43,0,25,2929.0,22,13,Online,1,5,A,2382.0,426.0,Utrecht,1
44,1,38,2135.0,67,0,Online,0,17,E,2198.0,883.0,Zuid-Holland,1
45,0,31,3822.0,59,10,Phone,1,42,C,1678.0,1108.0,Noord-Brabant,0
46,1,42,3048.0,34,18,Phone,0,1,C,2491.0,1846.0,Zuid-Holland,1
47,1,47,7440.0,56,9,Online,0,43,G,3331.0,1199.0,Drenthe,1
48,0,35,3928.0,28,0,Online,1,25,G,3058.0,2027.0,Flevoland,1
49,0,55,6234.0,9,7,Online,1,11,F,2438.0,2272.0,Noord-Holland,1
50,1,60,4863.0,68,6,Online,1,103,F,2437.0,2336.0,Noord-Brabant,0
51,0,56,9848.0,89,35,Online,1,84,C,1770.0,806.0,Overijssel,0
52,0,80,7164.0,33,0,Phone,0,47,G,3742.0,1021.0,Noord-Brabant,1
53,1,43,2726.0,7,16,Phone,1,47,F,2273.0,1272.0,Gelderland,1
54,1,36,4402.0,51,11,Online,1,174,G,3497.0,1372.0,Limburg,1
55,0,47,3586.0,24,6,Phone,0,59,C,2128.0,1474.0,Utrecht,0
56,1,44,3240.0,93,17,Phone,0,44,C,1513.0,1709.0,Gelderland,0
57,0,70,4277.0,8,32,Phone,0,49,G,2362.0,1003.0,Zuid-Holland,0
58,1,52,2324.0,47,4,Online,1,3,A,1252.0,773.0,Zuid-Holland,0
59,0,57,3527.0,15,30,Online,1,35,C,2386.0,1142.0,Gelderland,1
60,1,51,14603.0,61,3,Phone,0,31,D,2147.0,1287.0,Noord-Holland,0
61,1,47,3098.0,114,9,Phone,0,45,C,2541.0,1297.0,Zuid-Holland,0
62,0,39,13801.0,26,26,Online,1,22,E,3261.0,1414.0,Friesland,1
63,0,44,5218.0,63,0,Online,1,14,C,2270.0,1212.0,Zuid-Holland,1
64,0,35,4739.0,31,0,Phone,1,31,D,2574.0,858.0,Limburg,1
65,0,32,3936.0,16,0,Online,1,3,B,1571.0,393.0,Limburg,0
66,1,43,1370.0,108,32,Online,1,19,F,2871.0,1083.0,Noord-Holland,1
67,0,37,2666.0,74,0,Online,1,15,D,2436.0,1185.0,Zuid-Holland,1
68,1,43,1597.0,67,20,Online,1,6,A,1929.0,840.0,Limburg,0
69,0,50,14857.0,96,26,Online,0,2,C,2035.0,1180.0,Utrecht,0
70,1,26,2592.0,21,3,Phone,0,14,F,2871.0,1699.0,Noord-Holland,1
71,0,47,4076.0,37,0,Online,1,42,E,2418.0,656.0,Groningen,1
72,1,42,8558.0,26,0,Online,1,23,D,1658.0,1183.0,Zuid-Holland,1
73,0,56,6514.0,72,8,Phone,0,12,G,2200.0,1958.0,Noord-Holland,1
74,1,42,1934.0,12,0,Online,1,13,E,1312.0,1156.0,Zuid-Holland,1
75,0,46,8891.0,21,0,Online,1,10,F,1625.0,947.0,Zuid-Holland,0
76,1,50,5749.0,48,35,Online,1,8,B,1864.0,641.0,Gelderland,0
